datetime,tempmax,tempmin,humidity,precip,preciptype,windspeed,visibility,conditions,cars
7/1/2021,79,65.9,85.65,0.91,,10.2,7.2,"Rain, Partially cloudy",836
7/2/2021,75.8,59,69.04,0.06,,12.7,9.9,"Rain, Partially cloudy",974
7/3/2021,80.9,53.1,63.51,0,,11.4,9.4,Partially cloudy,173
7/4/2021,88,63,60.09,0,,9.1,9.9,Clear,785
7/5/2021,91.1,64.1,67.67,0,,11.4,6.1,Clear,282
7/6/2021,92,70.1,66.75,0,,9.2,6.4,Clear,516
7/7/2021,92.8,70.1,65.45,0.45,,11.4,6.6,"Rain, Partially cloudy",931
7/8/2021,80.9,71,79.67,0.16,,9.2,8.6,"Rain, Partially cloudy",307
7/9/2021,77,68,73.66,0,,11.4,9,Partially cloudy,438
7/10/2021,74,60.1,73.92,0,,11.4,8.6,Partially cloudy,990
7/11/2021,80.9,66.8,79.74,0.93,,11.4,8.8,"Rain, Partially cloudy",302
7/12/2021,85.9,73.1,76.77,0.01,,12.7,8.7,"Rain, Partially cloudy",125
7/13/2021,80.9,71.5,76.89,0.07,,17.1,9,"Rain, Partially cloudy",397
7/14/2021,85.9,71,70.38,0.01,,10.3,9,"Rain, Partially cloudy",640
7/15/2021,89,65.9,73.13,0.05,,14.9,7.5,Rain,441
7/16/2021,87.1,71,75.83,0.08,,12.7,9.2,"Rain, Partially cloudy",1087
7/17/2021,78.1,65,78.71,0.13,,14.9,8.9,"Rain, Partially cloudy",884
7/18/2021,84.8,60.1,69.24,0,,5.8,8.6,Clear,1011
7/19/2021,84.8,61.1,69.24,0,,8.1,6.5,Clear,263
7/20/2021,87.1,63.6,70.37,0,,8,3.5,Clear,159
7/21/2021,80,62.9,69.48,0,,10.3,7,Partially cloudy,548
7/22/2021,80,54,63.57,0,,8.1,8.4,Clear,929
7/23/2021,80,62,66.91,0,,6.9,9.9,Clear,654
7/24/2021,85.9,64.1,66.58,0,,10.3,8.7,Partially cloudy,398
7/25/2021,89.9,73.1,69.56,0,,6.9,8.7,Partially cloudy,945
7/26/2021,89.9,68,62.35,0,,10.3,7.1,Clear,579
7/27/2021,89,60.1,64.68,0,,8,7,Clear,1067
7/28/2021,89,64.1,69.23,0,,8,7.4,Partially cloudy,608
7/29/2021,87.2,69.1,80.36,0,,13.8,5.8,Partially cloudy,14
7/30/2021,82.1,66.8,64.35,0,,10.3,7.9,Partially cloudy,226
